date,firm_id,equity_price
2020-09-09,XOM,30.29
2020-09-10,XOM,29.53
2020-09-11,XOM,29.45
2020-09-14,XOM,29.26
2020-09-15,XOM,28.95
2020-09-16,XOM,30.17
2020-09-17,XOM,30.17
2020-09-18,XOM,29.68
2020-09-21,XOM,29.07
2020-09-22,XOM,28.35
2020-09-23,XOM,27.45
2020-09-24,XOM,27.39
2020-09-25,XOM,27.64
2020-09-28,XOM,28.18
2020-09-29,XOM,27.36
2020-09-30,XOM,27.4
2020-10-01,XOM,26.44
2020-10-02,XOM,26.32
2020-10-05,XOM,26.93
2020-10-06,XOM,26.65
2020-10-07,XOM,26.73
2020-10-08,XOM,28.14
2020-10-09,XOM,27.72
2020-10-12,XOM,27.64
2020-10-13,XOM,27.31
2020-10-14,XOM,27.25
2020-10-15,XOM,27.49
2020-10-16,XOM,27.21
2020-10-19,XOM,26.67
2020-10-20,XOM,26.89
2020-10-21,XOM,26.46
2020-10-22,XOM,27.82
2020-10-23,XOM,27.26
2020-10-26,XOM,26.62
2020-10-27,XOM,26.19
2020-10-28,XOM,25.19
2020-10-29,XOM,26.31
2020-10-30,XOM,26.03
2020-11-02,XOM,27.13
2020-11-03,XOM,26.66
2020-11-04,XOM,26.52
2020-11-05,XOM,26.47
2020-11-06,XOM,26.16
2020-11-09,XOM,29.47
2020-11-10,XOM,30.13
2020-11-11,XOM,29.82
2020-11-12,XOM,28.79
2020-11-13,XOM,29.49
2020-11-16,XOM,31.19
2020-11-17,XOM,31.61
2020-11-18,XOM,30.41
2020-11-19,XOM,30.57
2020-11-20,XOM,30.19
2020-11-23,XOM,32.17
2020-11-24,XOM,34.31
2020-11-25,XOM,33.35
2020-11-27,XOM,32.85
2020-11-30,XOM,31.16
2020-12-01,XOM,31.47
2020-12-02,XOM,32.64
2020-12-03,XOM,32.86
2020-12-04,XOM,34.07
2020-12-07,XOM,33.43
2020-12-08,XOM,34.52
2020-12-09,XOM,34.98
2020-12-10,XOM,35.97
2020-12-11,XOM,35.8
2020-12-14,XOM,34.51
2020-12-15,XOM,35.18
2020-12-16,XOM,35.72
2020-12-17,XOM,35.54
2020-12-18,XOM,34.92
2020-12-21,XOM,34.29
2020-12-22,XOM,33.71
2020-12-23,XOM,34.14
2020-12-24,XOM,34.0
2020-12-28,XOM,34.11
2020-12-29,XOM,33.73
2020-12-30,XOM,34.0
2020-01-02,F,7.03
2020-01-03,F,6.87
2020-01-06,F,6.83
2020-01-07,F,6.9
2020-01-08,F,6.9
2020-01-09,F,6.91
2020-01-10,F,6.9
2020-01-13,F,6.89
2020-01-14,F,6.93
2020-01-15,F,6.86
2020-01-16,F,6.84
2020-01-17,F,6.83
2020-01-21,F,6.87
2020-01-22,F,6.83
2020-01-23,F,6.82
2020-01-24,F,6.71
2020-01-27,F,6.63
2020-01-28,F,6.69
2020-01-29,F,6.72
2020-01-30,F,6.71
2020-01-31,F,6.69
2020-02-03,F,6.81
2020-02-04,F,6.97
2020-02-05,F,6.31
2020-02-06,F,6.26
2020-02-07,F,6.15
